Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-09,211.607,211.943,207.231,208.121,3504200,0.0,0.0
2018-05-10,208.974,212.733,208.257,212.206,2169000,0.0,0.0
2018-05-11,212.088,216.828,211.516,216.356,3044900,0.0,0.0
2018-05-14,216.919,221.25,216.846,220.551,3893600,0.0,0.0
2018-05-15,219.607,219.933,216.71,217.464,2396600,0.0,0.0
2018-05-16,217.6,219.561,216.619,219.479,1906100,0.0,0.0
2018-05-17,219.271,221.15,218.408,220.605,2418700,0.0,0.0
2018-05-18,220.978,222.24,220.088,222.131,2283600,0.0,0.0
2018-05-21,222.458,226.244,222.312,225.091,3040700,0.0,0.0
2018-05-22,225.182,225.227,221.404,222.621,2644100,0.0,0.0
2018-05-23,221.577,222.912,219.407,221.786,3047800,0.0,0.0
2018-05-24,222.067,222.857,219.915,220.397,2610400,0.0,0.0
2018-05-25,220.596,222.984,220.133,222.412,1554900,0.0,0.0
2018-05-29,221.423,221.423,218.136,219.888,2837800,0.0,0.0
2018-05-30,221.314,223.139,220.306,222.403,2071900,0.0,0.0
2018-05-31,221.74,222.231,218.535,219.289,2966100,0.0,0.0
2018-06-01,221.314,221.314,219.089,220.959,2371400,0.0,0.0
2018-06-04,221.55,222.676,220.406,222.122,2188900,0.0,0.0
2018-06-05,222.539,222.558,219.652,221.94,1531900,0.0,0.0
2018-06-06,223.656,225.835,222.576,225.772,2650300,0.0,0.0
2018-06-07,226.78,226.998,225.409,226.071,2117200,0.0,0.0
2018-06-08,226.507,228.36,225.245,227.615,3034600,0.0,0.0
2018-06-11,227.76,231.529,227.361,230.43,2775200,0.0,0.0
2018-06-12,229.903,230.575,227.152,230.248,2567200,0.0,0.0
2018-06-13,230.757,233.108,229.249,229.604,3138300,0.0,0.0
2018-06-14,231.056,232.436,230.321,231.837,2456600,0.0,0.0
2018-06-15,231.691,233.25,230.133,233.25,4772200,0.9,0.0
2018-06-18,231.445,232.366,229.751,232.238,1961900,0.0,0.0
2018-06-19,230.507,230.808,228.858,230.552,2370200,0.0,0.0
2018-06-20,230.826,231.199,229.514,230.361,2580400,0.0,0.0
2018-06-21,230.489,231.126,228.639,229.523,2150300,0.0,0.0
2018-06-22,229.842,232.457,228.885,231.783,2604000,0.0,0.0
2018-06-25,231.773,232.475,226.534,228.448,3060800,0.0,0.0
2018-06-26,228.311,230.051,227.381,227.591,2158000,0.0,0.0
2018-06-27,228.065,229.404,226.097,226.133,2481000,0.0,0.0
2018-06-28,225.185,225.978,220.721,223.153,3556900,0.0,0.0
2018-06-29,223.153,225.523,222.88,223.554,2772600,0.0,0.0
2018-07-02,223.245,225.732,222.443,225.504,1793300,0.0,0.0
2018-07-03,226.252,226.662,224.83,225.049,1248000,0.0,0.0
2018-07-05,226.99,228.648,225.595,228.256,2182900,0.0,0.0
2018-07-06,228.721,229.377,227.272,228.493,1572300,0.0,0.0
2018-07-09,229.741,231.454,228.757,231.145,2039600,0.0,0.0
2018-07-10,231.609,234.088,231.218,232.849,2012200,0.0,0.0
2018-07-11,232.484,233.268,231.209,231.983,1486000,0.0,0.0
2018-07-12,233.432,234.015,232.284,233.313,1592700,0.0,0.0
2018-07-13,233.623,236.011,233.286,235.728,2356200,0.0,0.0
2018-07-16,235.354,235.5,233.669,234.161,3625400,0.0,0.0
2018-07-17,229.213,230.097,224.402,228.065,6932300,0.0,0.0
2018-07-18,228.812,233.824,228.202,232.739,3359800,0.0,0.0
2018-07-19,232.648,233.723,229.486,230.47,2307600,0.0,0.0
2018-07-20,228.867,231.035,228.867,230.261,1959600,0.0,0.0
2018-07-23,230.452,232.566,230.015,230.297,1479600,0.0,0.0
2018-07-24,232.229,232.32,229.632,231.227,2476500,0.0,0.0
2018-07-25,232.183,232.603,230.325,232.229,3016900,0.0,0.0
2018-07-26,233.496,234.972,233.086,234.179,2021300,0.0,0.0
2018-07-27,234.899,234.899,232.712,233.222,1656800,0.0,0.0
2018-07-30,233.186,234.079,230.634,231.3,1681500,0.0,0.0
2018-07-31,231.573,232.539,230.398,230.735,2355900,0.0,0.0
2018-08-01,233.359,233.359,230.361,230.871,3006700,0.0,0.0
2018-08-02,230.99,233.541,229.833,233.341,1854400,0.0,0.0
2018-08-03,233.678,234.689,231.719,234.379,1422300,0.0,0.0
2018-08-06,233.723,234.671,232.785,233.96,1398100,0.0,0.0
2018-08-07,234.762,235.856,234.297,234.771,1462800,0.0,0.0
2018-08-08,235.19,236.457,235.017,235.828,1494300,0.0,0.0
2018-08-09,236.831,239.664,236.284,238.361,2315000,0.0,0.0
2018-08-10,237.359,238.279,236.102,237.241,1625000,0.0,0.0
2018-08-13,237.824,239.236,237.186,237.742,1635100,0.0,0.0
2018-08-14,237.724,240.831,237.687,240.084,1941600,0.0,0.0
2018-08-15,238.717,239.364,236.175,237.468,2017700,0.0,0.0
2018-08-16,238.343,240.33,238.234,239.737,2115900,0.0,0.0
2018-08-17,240.147,240.676,238.48,239.036,1969700,0.0,0.0
2018-08-20,239.646,240.093,238.343,239.099,1786200,0.0,0.0
2018-08-21,238.598,239.209,237.578,238.453,1559300,0.0,0.0
2018-08-22,238.689,238.689,237.14,237.587,2148500,0.0,0.0
2018-08-23,237.842,239.245,236.512,238.207,1603500,0.0,0.0
2018-08-24,238.507,241.268,238.507,240.813,2238600,0.0,0.0
2018-08-27,241.469,243.701,240.94,243.364,2614000,0.0,0.0
2018-08-28,244.694,245.241,243.592,244.667,2603900,0.0,0.0
2018-08-29,244.558,245.405,243.519,245.113,2880600,0.0,0.0
